 data_base |    table_schema    |              table_name               
 sabia_producao | pg_catalog         | pg_stat_xact_user_tables
 sabia_producao | pg_catalog         | pg_subscription
 sabia_producao | pg_catalog         | pg_subscription_rel
 sabia_producao | pg_catalog         | pg_tables
 sabia_producao | pg_catalog         | pg_tablespace
 sabia_producao | pg_catalog         | pg_timezone_abbrevs
 sabia_producao | pg_catalog         | pg_timezone_names
 sabia_producao | pg_catalog         | pg_transform
 sabia_producao | pg_catalog         | pg_trigger
 sabia_producao | pg_catalog         | pg_ts_config
 sabia_producao | pg_catalog         | pg_ts_config_map
 sabia_producao | pg_catalog         | pg_ts_dict
 sabia_producao | pg_catalog         | pg_ts_parser
 sabia_producao | pg_catalog         | pg_ts_template
 sabia_producao | pg_catalog         | pg_type
 sabia_producao | pg_catalog         | pg_user
 sabia_producao | pg_catalog         | pg_user_mapping
 sabia_producao | pg_catalog         | pg_user_mappings
 sabia_producao | pg_catalog         | pg_views
 sabia_producao | public             | autenticacao_contaassociada
 sabia_producao | public             | autenticacao_customregistrationprofile
 sabia_producao | public             | autenticacao_userscopedata
 sabia_producao | public             | autenticacao_usuario
 sabia_producao | public             | autenticacao_usuarioconfiguracoes
 sabia_producao | public             | autenticacao_usuario_groups
 sabia_producao | public             | autenticacao_usuariologacesso
 sabia_producao | public             | autenticacao_usuariosessoesativas
 sabia_producao | public             | autenticacao_usuario_user_permissions
 sabia_producao | public             | auth_group
 sabia_producao | public             | auth_group_permissions
 sabia_producao | public             | auth_permission
 sabia_producao | public             | authtoken_token
 sabia_producao | public             | base_mae
 sabia_producao | public             | cep_estabelecimento
 sabia_producao | public             | cep_municipio
 sabia_producao | public             | django_admin_log
 sabia_producao | public             | django_content_type
 sabia_producao | public             | django_migrations
 sabia_producao | public             | django_session
 sabia_producao | public             | oauth2_provider_accesstoken
 sabia_producao | public             | oauth2_provider_grant
 sabia_producao | public             | oauth2_provider_refreshtoken
 sabia_producao | public             | oauth_aplicacao
 sabia_producao | public             | oauth_aplicacao_admins
 sabia_producao | public             | oauth_aplicacao_developers
 sabia_producao | public             | oauth_conjuntoescopos
 sabia_producao | public             | oauth_plataformaios
 sabia_producao | public             | perfil_acessibilidade
 sabia_producao | public             | perfil_cbo
 sabia_producao | public             | perfil_configuracaoperfil
 sabia_producao | public             | perfil_contatosocial
 sabia_producao | public             | perfil_curso
 sabia_producao | public             | perfil_experienciaprofissional
 sabia_producao | public             | perfil_formacao
 sabia_producao | public             | perfil_instituicaoensino
 sabia_producao | public             | perfil_perfil
 sabia_producao | public             | perfil_usuarioconselhos
 sabia_producao | public             | perfil_usuarionotificacao
